beta_type,dist,n,p,rho,target_censoring,lambda_choice,mean_lambda,median_lambda,sd_lambda
allones,weibull,100.000,20,0.3,0,min,0.00272473469659199,0.0026665084030229602,1.0943124444459e-4
allones,weibull,100.000,50,0.3,0,min,0.00107971709909916,0.00107865999623486,8.10324149349904e-6
allones,weibull,100.000,50,0.3,0,min,0.00107971709909916,0.00107865999623486,8.10324149349904e-6
allones,weibull,100.000,10,0.3,0.1,min,0.00508473337235746,0.00508045064527103,2.61867933636683e-5
allones,weibull,100.000,10,0.3,0.1,min,0.00508473337235746,0.00508045064527103,2.61867933636683e-5
allones,weibull,100.000,20,0.3,0.1,min,0.00277587406103103,0.00277212878730751,1.68104234642177e-5
allones,weibull,100.000,20,0.3,0.1,min,0.00277587406103103,0.00277212878730751,1.68104234642177e-5
allones,weibull,100.000,50,0.3,0.1,min,0.00111100349186919,0.00112529300222435,3.80799222760137e-5
allones,weibull,100.000,50,0.3,0.1,min,0.00111100349186919,0.00112529300222435,3.80799222760137e-5
allones,weibull,100.000,10,0.3,0.3,min,0.00436582041041149,0.00436546789888436,2.38646377167756e-5
allones,weibull,100.000,10,0.3,0.3,min,0.00436582041041149,0.00436546789888436,2.38646377167756e-5
allones,weibull,100.000,20,0.3,0.3,min,0.00239568248543904,0.00239663760538486,2.34775312247396e-5
allones,weibull,100.000,20,0.3,0.3,min,0.00239568248543904,0.00239663760538486,2.34775312247396e-5
allones,weibull,100.000,50,0.3,0.3,min,9.0293084481742e-4,8.9501404791763e-4,2.46488059052644e-5
allones,weibull,100.000,50,0.3,0.3,min,9.0293084481742e-4,8.9501404791763e-4,2.46488059052644e-5
highcontrast,exponential,100.000,10,0,0,min,0.00994290454917774,0.00993705947059145,3.69858130238593e-5
highcontrast,exponential,100.000,20,0,0,min,0.0099476772189996,0.00994793808399775,3.91690226161554e-5
highcontrast,exponential,100.000,50,0,0,min,0.00995024292699471,0.00994885527272001,3.53465022861536e-5
highcontrast,exponential,100.000,10,0,0.1,min,0.00932303295883844,0.00932124974728471,3.4911648332296e-5
highcontrast,exponential,100.000,20,0,0.1,min,0.00932654294098298,0.0093238379608199,3.22185832653192e-5
highcontrast,exponential,100.000,50,0,0.1,min,0.00932344138815581,0.00932338728350995,3.14344712687717e-5
highcontrast,exponential,100.000,10,0,0.3,min,0.00786557237793979,0.0078661818956151,2.64975659131388e-5
highcontrast,exponential,100.000,20,0,0.3,min,0.00786695492862425,0.007869570725277,3.0489050702548e-5
highcontrast,exponential,100.000,50,0,0.3,min,0.00786192859180697,0.00786296956628971,2.99553811045894e-5
highcontrast,exponential,100.000,10,0.3,0,min,0.0114173268419617,0.0113338540368902,2.9026114885208e-4
highcontrast,exponential,100.000,20,0.3,0,min,0.0114300868529183,0.0113443136782781,2.9530400308436e-4
highcontrast,exponential,100.000,50,0.3,0,min,0.0114257723941411,0.0113311897159127,3.0118125927308e-4
highcontrast,exponential,100.000,10,0.3,0.1,min,0.0107321472621947,0.0106700245698941,2.505339909682e-4
highcontrast,exponential,100.000,20,0.3,0.1,min,0.0107049590952848,0.0106554888306003,2.1988294468354e-4
highcontrast,exponential,100.000,50,0.3,0.1,min,0.0106810658268344,0.0106637851132295,1.3846352560621e-4
highcontrast,exponential,100.000,10,0.3,0.3,min,0.0097585426416285,0.00989937676027142,3.29339043994e-4
highcontrast,exponential,100.000,20,0.3,0.3,min,0.00977875936032637,0.00990401153815163,3.1036290617448e-4
highcontrast,exponential,100.000,50,0.3,0.3,min,0.00975501203693586,0.00990751274639376,3.3480183002968e-4
highcontrast,gompertz,100.000,10,0,0,min,0.00994399353250238,0.00993856306650355,3.31955094760383e-5
highcontrast,gompertz,100.000,20,0,0,min,0.00994345644315902,0.00994071292695616,3.47303970453168e-5
highcontrast,gompertz,100.000,50,0,0,min,0.00995045543629121,0.00994863230344168,3.85134313496623e-5
highcontrast,gompertz,100.000,10,0,0.1,min,0.00930297291273699,0.00929924755960101,3.22669986705913e-5
highcontrast,gompertz,100.000,20,0,0.1,min,0.00930750744893572,0.00930804423348909,3.67723644288406e-5
highcontrast,gompertz,100.000,50,0,0.1,min,0.00929219748974992,0.00929787343242496,9.05537709083151e-5
highcontrast,gompertz,100.000,10,0,0.3,min,0.00784111228979247,0.00784019747191056,3.17922785743169e-5
highcontrast,gompertz,100.000,20,0,0.3,min,0.00783836637054603,0.00784674041536074,7.52048164843955e-5
highcontrast,gompertz,100.000,50,0,0.3,min,0.00784542443530565,0.0078452478759158,2.59595604537368e-5
highcontrast,gompertz,100.000,10,0.3,0,min,0.0114423640175652,0.0113393950183939,3.158826908435e-4
highcontrast,gompertz,100.000,20,0.3,0,min,0.0113939518613873,0.0113506700346111,2.2354183729271e-4
highcontrast,gompertz,100.000,50,0.3,0,min,0.011460363555994,0.011339094583618,3.3846119725006e-4
highcontrast,gompertz,100.000,10,0.3,0.1,min,0.010624949620568,0.0106243533841911,3.57399072219485e-5
highcontrast,gompertz,100.000,20,0.3,0.1,min,0.0106181798688147,0.0106202425719728,3.77530975009087e-5
highcontrast,gompertz,100.000,50,0.3,0.1,min,0.0106219281121857,0.0106149419617987,3.63743904254396e-5
highcontrast,gompertz,100.000,10,0.3,0.3,min,0.00982085852741007,0.00988057297668967,2.369907145483e-4
highcontrast,gompertz,100.000,20,0.3,0.3,min,0.0098689962456064,0.00989404157154666,1.5013064027615e-4
highcontrast,gompertz,100.000,50,0.3,0.3,min,0.00982403162098749,0.00988123910033955,2.201294063421e-4
highcontrast,lognormal,100.000,10,0,0,min,0.0102535705444371,0.0101995086911754,2.2935025823213e-4
highcontrast,lognormal,100.000,20,0,0,min,0.0102558892967245,0.0102097813374838,2.1188054141692e-4
highcontrast,lognormal,100.000,50,0,0,min,0.0102448975102574,0.0102081030718927,1.8522660917404e-4
highcontrast,lognormal,100.000,10,0,0.1,min,0.00963152455106926,0.0096290134242341,3.46400184927332e-5
highcontrast,lognormal,100.000,20,0,0.1,min,0.00962827895622602,0.0096261037473921,2.97149800763433e-5
highcontrast,lognormal,100.000,50,0,0.1,min,0.00962814494559402,0.00963471346434601,8.96074037012689e-5
highcontrast,lognormal,100.000,10,0,0.3,min,0.0082352055615443,0.00824341935976113,8.23021494084796e-5
highcontrast,lognormal,100.000,20,0,0.3,min,0.0082398533520715,0.008242098615235,8.27906612554253e-5
highcontrast,lognormal,100.000,50,0,0.3,min,0.00823346555106172,0.0082475391008315,1.1200976188909e-4
highcontrast,lognormal,100.000,10,0.3,0,min,0.0127524996622797,0.0127529987483575,4.29349220006215e-5
highcontrast,lognormal,100.000,20,0.3,0,min,0.0127538299019313,0.0127504255949529,4.16383451455699e-5
highcontrast,lognormal,100.000,50,0.3,0,min,0.0127507587221915,0.0127452163551765,4.87417394105844e-5
highcontrast,lognormal,100.000,10,0.3,0.1,min,0.012058405955219,0.0120609248550606,4.37640495522231e-5
highcontrast,lognormal,100.000,20,0.3,0.1,min,0.0120656062384051,0.0120657107873837,3.69084614465745e-5
highcontrast,lognormal,100.000,50,0.3,0.1,min,0.0120603677140918,0.0120594762285136,3.84701596363625e-5
highcontrast,lognormal,100.000,10,0.3,0.3,min,0.0103480681254989,0.0103538578558155,9.65412487263742e-5
highcontrast,lognormal,100.000,20,0.3,0.3,min,0.0103521517235342,0.0103507072433018,4.03208480304116e-5
highcontrast,lognormal,100.000,50,0.3,0.3,min,0.0103393778859092,0.0103538066215345,1.0223650427208e-4
highcontrast,weibull,100.000,10,0,0,min,0.0099428894715124,0.00993705893916499,3.69923561642399e-5
highcontrast,weibull,100.000,10,0,0,min,0.0099428894715124,0.00993705893916499,3.69923561642399e-5
highcontrast,weibull,100.000,20,0,0,min,0.00994766892900145,0.00994785361451944,3.917213478739e-5
highcontrast,weibull,100.000,20,0,0,min,0.00994766892900145,0.00994785361451944,3.917213478739e-5
highcontrast,weibull,100.000,50,0,0,min,0.00995022763929792,0.0099488849339617,3.53361168977798e-5
highcontrast,weibull,100.000,50,0,0,min,0.00995022763929792,0.0099488849339617,3.53361168977798e-5
highcontrast,weibull,100.000,10,0,0.1,min,0.00919761440911271,0.00919932994846821,3.39480057083458e-5
highcontrast,weibull,100.000,10,0,0.1,min,0.00919761440911271,0.00919932994846821,3.39480057083458e-5
highcontrast,weibull,100.000,20,0,0.1,min,0.00920073547512483,0.00919809148091984,3.16708006681191e-5
highcontrast,weibull,100.000,20,0,0.1,min,0.00920073547512483,0.00919809148091984,3.16708006681191e-5
highcontrast,weibull,100.000,50,0,0.1,min,0.0091992265339876,0.00920109290336373,3.2786281370654e-5
highcontrast,weibull,100.000,50,0,0.1,min,0.0091992265339876,0.00920109290336373,3.2786281370654e-5
highcontrast,weibull,100.000,10,0,0.3,min,0.00760729885820024,0.00760617721239841,2.71080271147318e-5
highcontrast,weibull,100.000,10,0,0.3,min,0.00760729885820024,0.00760617721239841,2.71080271147318e-5
highcontrast,weibull,100.000,20,0,0.3,min,0.00760848869302601,0.0076108231384322,2.83480873371714e-5
highcontrast,weibull,100.000,20,0,0.3,min,0.00760848869302601,0.0076108231384322,2.83480873371714e-5
highcontrast,weibull,100.000,50,0,0.3,min,0.00760432296666071,0.00760047650924603,2.97422631645679e-5
highcontrast,weibull,100.000,50,0,0.3,min,0.00760432296666071,0.00760047650924603,2.97422631645679e-5
highcontrast,weibull,100.000,10,0.3,0,min,0.0114335635638839,0.0113334705662928,3.1843455068209e-4
highcontrast,weibull,100.000,10,0.3,0,min,0.0114335635638839,0.0113334705662928,3.1843455068209e-4
highcontrast,weibull,100.000,20,0.3,0,min,0.0114300780664789,0.0113443993657445,2.9530235483102e-4
highcontrast,weibull,100.000,20,0.3,0,min,0.0114300780664789,0.0113443993657445,2.9530235483102e-4
highcontrast,weibull,100.000,50,0.3,0,min,0.0114529721097537,0.0113309652424608,3.3604511435233e-4
highcontrast,weibull,100.000,50,0.3,0,min,0.0114529721097537,0.0113309652424608,3.3604511435233e-4
highcontrast,weibull,100.000,10,0.3,0.1,min,0.0105991659749321,0.0105280863743545,2.6169845918733e-4
highcontrast,weibull,100.000,10,0.3,0.1,min,0.0105991659749321,0.0105280863743545,2.6169845918733e-4
highcontrast,weibull,100.000,20,0.3,0.1,min,0.0105710864842976,0.010513659467019,2.3695080653199e-4
highcontrast,weibull,100.000,20,0.3,0.1,min,0.0105710864842976,0.010513659467019,2.3695080653199e-4
highcontrast,weibull,100.000,50,0.3,0.1,min,0.0105503205121726,0.0105273618491216,1.7138581366674e-4
highcontrast,weibull,100.000,50,0.3,0.1,min,0.0105503205121726,0.0105273618491216,1.7138581366674e-4
highcontrast,weibull,100.000,10,0.3,0.3,min,0.00881200739399182,0.00875942021309055,2.105530314475e-4
highcontrast,weibull,100.000,10,0.3,0.3,min,0.00881200739399182,0.00875942021309055,2.105530314475e-4
highcontrast,weibull,100.000,20,0.3,0.3,min,0.00877296091303215,0.00874843666943387,1.3851344184148e-4
highcontrast,weibull,100.000,20,0.3,0.3,min,0.00877296091303215,0.00874843666943387,1.3851344184148e-4
highcontrast,weibull,100.000,50,0.3,0.3,min,0.00877333780575897,0.00874893871647057,1.3751515767179e-4
highcontrast,weibull,100.000,50,0.3,0.3,min,0.00877333780575897,0.00874893871647057,1.3751515767179e-4
realistic,exponential,100.000,10,0,0,min,0.00898503629760167,0.00897612500364297,8.57488219133504e-5
realistic,exponential,100.000,20,0,0,min,0.00897513125501683,0.00897352038391526,3.81193940192645e-5
realistic,exponential,100.000,50,0,0,min,0.00897668466536588,0.00896621669283112,8.69180069315928e-5
realistic,exponential,100.000,10,0,0.1,min,0.00840869922819831,0.00840404874454622,4.80673186264489e-5
realistic,exponential,100.000,20,0,0.1,min,0.00841639366746071,0.00841337625425717,4.02047517157208e-5
realistic,exponential,100.000,50,0,0.1,min,0.00840623093365183,0.00840250844915522,3.83611404921829e-5
realistic,exponential,100.000,10,0,0.3,min,0.0071237361826421,0.00708160546569457,1.5997187268832e-4
realistic,exponential,100.000,20,0,0.3,min,0.00709724163976008,0.00708061216501746,9.44626459181247e-5
realistic,exponential,100.000,50,0,0.3,min,0.00709524389853872,0.00707901826419833,9.36985752498405e-5
realistic,exponential,100.000,10,0.3,0,min,0.0112651000976106,0.0112639693379062,4.63471945465725e-5
realistic,exponential,100.000,20,0.3,0,min,0.011263056280651,0.0112679178398408,4.69864184500822e-5
realistic,exponential,100.000,50,0.3,0,min,0.0112669802567859,0.0112705459052834,4.77761003949946e-5
realistic,exponential,100.000,10,0.3,0.1,min,0.0106061121772279,0.0106009629287755,4.45148503058324e-5
realistic,exponential,100.000,20,0.3,0.1,min,0.0106081269312679,0.0106068180898879,4.15043939630883e-5
realistic,exponential,100.000,50,0.3,0.1,min,0.0106041706759932,0.0106025452686908,4.69153331753289e-5
realistic,exponential,100.000,10,0.3,0.3,min,0.00898471044056925,0.00898895432719118,4.36648270906349e-5
realistic,exponential,100.000,20,0.3,0.3,min,0.008985211278993,0.00898168463558581,4.16070764915904e-5
realistic,exponential,100.000,50,0.3,0.3,min,0.00898567997390205,0.00898771438454895,4.16271105459361e-5
realistic,gompertz,100.000,10,0,0,min,0.00897986060037016,0.00897996807259351,4.56662445397386e-5
realistic,gompertz,100.000,20,0,0,min,0.00897654334192734,0.00897846206585711,4.05381742637769e-5
realistic,gompertz,100.000,50,0,0,min,0.00897903833032637,0.00897644260036444,4.65924059255303e-5
realistic,gompertz,100.000,10,0,0.1,min,0.00841003801208837,0.00838689844703283,1.3428737709669e-4
realistic,gompertz,100.000,20,0,0.1,min,0.00839314570226216,0.00838217312476757,8.29754848484677e-5
realistic,gompertz,100.000,50,0,0.1,min,0.0084048672237475,0.00839416605160954,1.157670011088e-4
realistic,gompertz,100.000,10,0,0.3,min,0.00707589541310899,0.00705484611933711,1.1062828907619e-4
realistic,gompertz,100.000,20,0,0.3,min,0.00706169808861555,0.00705925529536351,8.60698702045493e-5
realistic,gompertz,100.000,50,0,0.3,min,0.00706760427055537,0.0070594113883395,7.50151549853758e-5
realistic,gompertz,100.000,10,0.3,0,min,0.0112641483558652,0.011263032996772,4.86603111852126e-5
realistic,gompertz,100.000,20,0.3,0,min,0.0112623580336468,0.0112634202571082,5.36289297886236e-5
realistic,gompertz,100.000,50,0.3,0,min,0.0112720859377844,0.0112778320377258,4.83823804940082e-5
realistic,gompertz,100.000,10,0.3,0.1,min,0.0105622984682337,0.0105626739448636,3.98720041862023e-5
realistic,gompertz,100.000,20,0.3,0.1,min,0.0105558342290309,0.0105550940217906,4.81325657410249e-5
